GeneID,Base mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Gene name
ENSMUSG00000085154,46.5361329051545,-3.85069317728477,0.394402237572141,-9.76336544383938,1.61698352580741e-22,3.7958688268329e-18,11,103588250,103614782,1,C130046K22Rik
ENSMUSG00000026669,523.061771983317,-1.09799638168817,0.179830696567517,-6.105722786187,1.023364960174e-09,9.30446805648705e-06,2,4994525,5017602,-1,Mcm10
ENSMUSG00000020889,2761.83163913725,1.92989329373559,0.331761790539443,5.81710537128942,5.98754010543144e-09,3.01614408358116e-05,11,98658758,98666159,-1,Nr1d1
ENSMUSG00000022445,397.440158199405,1.65464265296304,0.285021581505061,5.80532408888363,6.424162052356051e-09,3.01614408358116e-05,15,82674302,82678495,-1,Cyp2d26
ENSMUSG00000094091,439.042940065568,1.70767116568061,0.296926232776492,5.75116300675945,8.86316057457502e-09,3.46771157480247e-05,11,94172699,94177079,1,Ankrd40cl
ENSMUSG00000103527,272.637320032706,-2.17134327623915,0.38134611673727,-5.69389114229556,1.24176272655704e-08,3.88477654949336e-05,3,51580222,51581322,1,Gm37261
ENSMUSG00000118661,75.2320509032389,-2.45208772099727,0.431481249263415,-5.68295314149397,1.32388551207441e-08,3.88477654949336e-05,7,141213373,141241641,-1,Muc6
ENSMUSG00000068547,5865.57518410424,-2.04506628835772,0.371586951171183,-5.50360092546845,3.72111346960356e-08,9.70590429988261e-05,3,144658241,144680806,-1,Clca4a
ENSMUSG00000040808,305.279072993552,2.41412370552777,0.445881589767436,5.41427087578774,6.15389471488151e-08,0.0001444626784318,X,161744988,161747595,-1,S100g
ENSMUSG00000026573,7.90992986905571,2.3146276540849,0.429924502851565,5.38380026896035,7.29294264446552e-08,0.0001556380259807,1,164759213,164763096,-1,Xcl1
ENSMUSG00000003477,33.4757164892178,2.13258776589737,0.412305897883159,5.17234358481505,2.31175996139846e-07,0.0004522380424485,6,55147611,55152028,-1,Inmt
ENSMUSG00000018381,380.682725586031,1.25265223000226,0.24603781328514,5.09129963917592,3.55617524778688e-07,0.0005380031453115,11,95720900,95733302,-1,Abi3
ENSMUSG00000021775,2262.09079272712,1.56300889099694,0.307347137251849,5.0854838114733,3.66690109690517e-07,0.0005380031453115,14,4230569,4265642,1,Nr1d2
ENSMUSG00000059824,1312.48685944497,2.21117397591854,0.434504485670677,5.08895546269331,3.60041151241549e-07,0.0005380031453115,7,45354512,45359627,1,Dbp
ENSMUSG00000025002,17705.4874924161,-1.93233476125557,0.38399665404891,-5.03216562144691,4.84970003789032e-07,0.0006293949739521,19,38995463,39031137,1,Cyp2c55
ENSMUSG00000061577,92.9291075651809,1.13970321114148,0.226854667814143,5.02393546548144,5.06232537964798e-07,0.0006293949739521,8,95650322,95669908,1,Adgrg5
ENSMUSG00000093861,259.641563540954,2.20700735370855,0.439403713110027,5.02273259842916,5.09414462410675e-07,0.0006293949739521,6,68247469,68248251,1,Igkv1-110
ENSMUSG00000103313,298.788480793463,-1.84351248663811,0.369756191950725,-4.98575149455179,6.17214348430762e-07,0.0007244553414706,3,51139338,51141801,1,Gm38357
ENSMUSG00000042489,442.732634807991,-1.22052226992879,0.246916229479452,-4.9430621571611,7.69049508025612e-07,0.0008596874857572,4,126450728,126487696,1,Clspn
ENSMUSG00000017499,218.783092399998,-1.1162871518889,0.227461858839431,-4.90757948424621,9.2207290986088e-07,0.0009838937072265,11,98798627,98814766,1,Cdc6
ENSMUSG00002075482,9.19686312792286,-2.18747938184622,0.446587574405118,-4.89820923647524,9.67140189284659e-07,0.000987113736672,19,38995470,38995533,-1,Gm54789
ENSMUSG00000007080,658.194275857558,-1.08753974630936,0.223123082325025,-4.87416960619578,1.0926708627597e-06,0.0010687686876368,5,110434172,110485340,1,Pole
ENSMUSG00000024910,57.4173858715398,1.90364865193773,0.393246170700289,4.8408574419116,1.29280092985127e-06,0.0011681420048794,19,5515071,5518535,-1,Ctsw
ENSMUSG00000048489,107.937455662778,1.89930898791769,0.392836548996653,4.83485814333909,1.33240616663206e-06,0.0011681420048794,6,116627570,116629755,1,Depp1
ENSMUSG00000096336,59.3249365531837,2.02479012616324,0.418933562624061,4.8332010294917,1.34354990976547e-06,0.0011681420048794,6,67586697,67587492,1,Igkv1-135
ENSMUSG00000022512,49.2926503007504,1.52656725091703,0.32388396060761,4.7133153739789,2.43718547836253e-06,0.0019728596242951,16,26175392,26190591,-1,Cldn1
ENSMUSG00000095612,43.6218864861762,1.84286913057326,0.392829142740945,4.69127396637312,2.71509115906361e-06,0.0021245588319672,12,113561066,113561597,-1,Ighv5-4
ENSMUSG00000022584,35.0670444324119,2.01754322824793,0.432301932238903,4.66697712360206,3.05663346751065e-06,0.0023146603435423,15,74980007,74983819,-1,Ly6c2
ENSMUSG00000005503,29.8470129017373,-1.33335053467701,0.287539249482799,-4.63710793248341,3.53317938556393e-06,0.0025919183148785,6,52290483,52295363,1,Evx1
ENSMUSG00000027790,438.895846810202,2.04657655838725,0.447236993302969,4.5760448912616,4.73848907816624e-06,0.0033707888215137,3,72795890,72875196,-1,Sis
ENSMUSG00000082292,57.862135721889,1.97603875654045,0.432434594816031,4.56956677432597,4.88733434665183e-06,0.0033744168761074,11,58078565,58079838,1,Gm12250
ENSMUSG00000028259,28.5495474052815,1.46751299503754,0.323352243704848,4.53843455119819,5.66733796045566e-06,0.0038011645320484,4,25199908,25242876,-1,Fhl5
